number	state	disposition	cluster	matrixKey	owner	proofKind	action	command	title	url	reason
79	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Behaviour of return in list is counterintuitive	https://github.com/ProseMirror/prosemirror/issues/79	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
80	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Enter sometimes doesn't run proper command on Android	https://github.com/ProseMirror/prosemirror/issues/80	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
81	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	spaces and dom importer	https://github.com/ProseMirror/prosemirror/issues/81	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
83	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Link insertion not working?	https://github.com/ProseMirror/prosemirror/issues/83	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
85	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	html paste throws error when not equal to lastCopied	https://github.com/ProseMirror/prosemirror/issues/85	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
86	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	style menu "tooltips"	https://github.com/ProseMirror/prosemirror/issues/86	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
87	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	export wrap function of serializer	https://github.com/ProseMirror/prosemirror/issues/87	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
88	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Pressing ENTER with the cursor at the beginning of a bullet item removes bullet	https://github.com/ProseMirror/prosemirror/issues/88	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
89	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	ESC on Safari deletes selected block	https://github.com/ProseMirror/prosemirror/issues/89	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
90	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Pasting plain text containing links should create clickable links	https://github.com/ProseMirror/prosemirror/issues/90	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
91	CLOSED	skip	product-integration	Skip: product-integration	N/A	N/A	skip	N/A	Lifting an indented bullet item out of enclosing block creates duplicated bullet points on next bullet item	https://github.com/ProseMirror/prosemirror/issues/91	Skipped as product-integration; no title-level portable Slate-v2 editor invariant.
92	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Ability to decrease indentation of an item in a bullet list	https://github.com/ProseMirror/prosemirror/issues/92	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
94	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	emptyBlockMenu code option doesn't seem to work	https://github.com/ProseMirror/prosemirror/issues/94	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
95	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	With whole block selected, block type tooltipMenu	https://github.com/ProseMirror/prosemirror/issues/95	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
96	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	[OS X] Broken when inserting via special characters pane	https://github.com/ProseMirror/prosemirror/issues/96	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
98	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	can't click in selection to unselect	https://github.com/ProseMirror/prosemirror/issues/98	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
99	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Does it support offline use case?	https://github.com/ProseMirror/prosemirror/issues/99	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
100	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Editor does not preserve line breaks with `docFormat` of "markdown"	https://github.com/ProseMirror/prosemirror/issues/100	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
101	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Is it possible to migrate a project currently using Codemirror?	https://github.com/ProseMirror/prosemirror/issues/101	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
104	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Triple-click doesn't go through non-editable elements on Chrome	https://github.com/ProseMirror/prosemirror/issues/104	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
105	CLOSED	skip	uncertain-nonportable	Skip: no portable editor invariant detected	N/A	N/A	skip	N/A	Multi-stroke keybindings are broken	https://github.com/ProseMirror/prosemirror/issues/105	Skipped because title/body/comments do not expose a portable Slate-v2 behavior invariant.
106	CLOSED	skip	product-integration	Skip: product-integration	N/A	N/A	skip	N/A	self for prefillParams	https://github.com/ProseMirror/prosemirror/issues/106	Skipped as product-integration; no title-level portable Slate-v2 editor invariant.
107	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Textnode doesn't support hasAttribute	https://github.com/ProseMirror/prosemirror/issues/107	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
108	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	The buildParamsForm select box does not update with current value	https://github.com/ProseMirror/prosemirror/issues/108	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
109	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	make wrapIn work with Inline in parseDOM	https://github.com/ProseMirror/prosemirror/issues/109	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
110	CLOSED	skip	uncertain-nonportable	Skip: no portable editor invariant detected	N/A	N/A	skip	N/A	Don't throw generic Error instances everywhere	https://github.com/ProseMirror/prosemirror/issues/110	Skipped because title/body/comments do not expose a portable Slate-v2 behavior invariant.
111	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Double-click and drag resets selection to double-clicked word	https://github.com/ProseMirror/prosemirror/issues/111	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
